gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
female,CA,25,36000,3,2,4,4,5,4,5,4,3,1,1,4,5,7,3,1,4,4,6,4,4,3,4,2,3,7,4,4,5,4,6,6,5,5,4,4,4,2,3,4,Evercrest,47,2,4,1,3,6,5
female,IN,20,18000,2,2,4,3,7,6,2,6,6,2,3,6,4,3,4,2,4,4,7,3,6,3,5,7,3,6,6,4,6,2,2,4,3,3,3,1,5,2,4,5,Evercrest,40,3,5,1,2,6,4
female,NJ,29,115000,5,7,3,3,6,5,3,5,4,3,4,4,5,6,3,7,1,2,1,2,2,2,4,3,2,2,3,6,1,1,1,1,1,4,2,5,2,6,3,6,Seraph Guardians,61,5,1,3,6,4,2
male,VA,22,34000,4,2,5,4,7,6,4,7,5,2,5,3,3,3,4,1,3,5,1,5,3,4,1,4,6,2,3,3,5,3,6,4,4,1,2,3,4,4,2,3,Seraph Guardians,45,5,1,2,4,6,3
female,WA,21,26000,2,4,6,3,6,6,4,6,3,3,3,6,6,7,4,3,4,1,6,4,4,4,7,4,6,6,5,7,5,3,2,3,2,5,2,5,5,5,4,4,Seraph Guardians,33,5,2,1,4,6,3
female,TX,32,64000,5,6,7,6,7,7,1,7,5,6,6,7,6,7,5,5,4,3,4,4,2,2,7,2,2,1,2,5,1,3,1,2,2,5,3,3,7,6,7,4,Seraph Guardians,58,5,2,3,6,4,1
male,TX,33,107000,5,2,1,4,7,7,5,7,4,2,6,4,5,2,1,3,6,7,2,6,2,2,6,2,4,2,1,4,1,5,7,7,7,3,3,3,1,3,1,3,Warrior Guild,85,5,1,4,3,6,2
male,FL,19,29000,5,6,2,2,5,5,3,4,3,4,3,3,3,1,1,4,4,4,4,6,4,5,3,3,5,5,5,3,4,5,3,3,4,1,1,5,2,4,1,1,Evercrest,32,3,2,5,1,4,6
female,OH,25,67000,2,4,1,2,5,4,3,5,4,3,2,1,5,1,4,1,4,6,7,4,3,2,2,5,5,7,2,2,5,4,7,4,7,4,3,2,4,3,1,4,Seraph Guardians,53,2,4,3,1,6,5
female,NM,20,13000,3,2,5,5,7,7,5,7,6,3,4,6,5,5,2,1,1,1,5,1,5,4,5,4,4,7,6,5,7,1,3,3,1,3,2,6,4,5,7,2,Evercrest,33,4,2,1,5,6,3
male,MD,29,75000,4,4,1,4,6,6,5,6,2,5,4,7,7,7,5,4,2,4,4,1,2,3,6,2,3,2,3,6,4,3,3,3,3,5,6,4,3,3,3,5,Evercrest,71,4,1,3,6,5,2
male,CT,51,91000,2,1,3,1,6,7,5,7,1,3,1,6,5,6,3,4,7,6,2,5,1,4,5,1,6,5,6,5,4,4,7,7,7,2,2,2,4,2,3,2,Warrior Guild,53,5,3,2,1,6,4
male,HI,45,103000,3,4,2,2,3,3,2,3,1,5,6,5,2,4,2,6,7,7,2,5,3,4,4,1,4,3,4,2,3,5,6,6,5,1,1,4,3,5,3,1,Evercrest,63,5,1,6,3,2,4
female,WA,21,26000,7,5,1,5,1,2,5,2,4,6,3,1,1,2,3,6,1,3,2,2,3,6,1,2,4,3,5,3,1,3,1,2,2,2,3,5,1,2,1,4,Evercrest,32,4,1,6,5,2,3
male,CA,32,102000,5,3,3,5,3,3,3,3,6,3,3,2,2,4,4,2,6,4,4,6,5,4,3,6,4,2,4,3,4,5,4,4,3,4,5,4,1,4,2,5,Evercrest,61,2,4,5,1,3,6
male,FL,27,40000,4,4,2,1,7,7,3,7,2,3,3,2,6,4,1,2,3,7,2,3,4,4,6,3,2,2,4,5,1,3,6,5,7,2,3,2,2,3,3,3,Evercrest,40,5,1,4,3,6,2
male,KS,28,32000,4,1,2,2,4,4,4,7,4,1,3,4,5,4,4,1,3,4,6,4,4,3,4,3,6,5,3,5,5,3,5,7,5,5,6,5,3,1,3,4,Warrior Guild,49,2,4,3,1,6,5
male,DE,20,14000,7,1,3,5,4,4,5,3,5,1,5,4,3,2,4,1,4,5,5,7,7,7,3,6,6,7,7,3,7,6,4,5,2,3,5,7,2,4,2,3,Seraph Guardians,31,2,4,3,1,5,6
male,CO,19,17000,5,4,2,4,4,4,5,5,5,2,4,1,2,2,5,1,5,4,3,5,5,4,1,4,4,4,3,2,1,5,3,4,5,4,6,4,3,4,1,5,Evercrest,15,1,4,6,2,3,5
female,GA,55,36000,4,7,2,5,7,6,5,7,1,7,3,6,6,6,5,7,4,1,2,1,1,5,5,1,6,1,2,6,4,3,2,1,3,2,6,4,3,4,3,4,Evercrest,37,5,1,4,6,3,2
female,AL,24,45000,2,2,6,2,4,5,3,5,3,2,2,4,6,6,2,2,3,4,6,3,4,3,6,4,4,7,4,4,5,5,4,3,2,3,1,2,6,3,4,2,Seraph Guardians,36,1,4,3,2,6,5
male,WA,31,69000,2,4,2,2,4,6,1,5,4,3,1,3,5,3,2,4,5,6,4,6,1,1,3,3,2,6,2,5,5,5,6,6,6,4,4,2,1,2,2,2,Seraph Guardians,55,2,4,5,1,6,3
female,TX,19,9000,7,5,7,7,3,3,6,1,6,2,4,5,6,6,5,3,5,1,5,5,6,7,5,7,6,5,5,4,4,6,1,4,3,4,6,4,5,4,4,5,Warrior Guild,19,1,2,4,3,5,6
male,AZ,19,12000,3,3,2,3,5,6,3,5,5,1,1,4,3,1,2,2,6,7,6,7,6,3,2,6,2,5,1,3,1,7,6,6,6,1,3,1,1,3,2,2,Warrior Guild,29,2,3,4,1,5,6
male,CA,28,105000,2,5,1,3,2,2,3,1,4,5,2,3,3,2,3,3,5,1,1,6,4,1,2,3,3,1,4,4,1,4,3,3,5,1,3,3,1,4,2,1,Warrior Guild,63,5,1,6,3,2,4
male,IA,33,69000,4,7,4,5,6,7,4,7,3,7,5,5,6,5,4,7,3,1,3,4,4,3,6,1,6,3,5,5,2,3,2,1,2,5,3,5,3,3,3,5,Seraph Guardians,67,6,1,4,5,3,2
female,NY,32,60000,3,2,5,3,4,6,7,5,4,1,1,3,5,2,1,3,4,6,4,4,4,2,4,3,4,2,3,3,3,4,4,3,3,1,1,3,3,3,3,1,Warrior Guild,47,1,2,4,3,5,6
female,NC,20,14000,2,4,5,2,7,4,4,5,5,5,4,3,3,4,2,7,7,3,3,5,6,4,4,6,3,3,2,3,4,7,4,6,5,2,2,3,5,5,5,3,Evercrest,24,2,1,6,4,5,3
female,GA,23,45000,2,3,1,3,4,4,3,5,3,2,1,3,4,4,4,2,6,5,6,5,4,3,5,5,4,4,5,4,7,6,4,3,4,4,3,2,3,1,5,5,Seraph Guardians,50,2,4,3,1,6,5
male,IN,34,49000,5,4,1,7,1,3,7,2,2,5,4,3,2,2,5,4,3,5,3,4,2,6,2,3,5,3,6,5,4,2,3,4,1,5,6,5,2,2,2,6,Evercrest,47,6,1,3,5,2,4
male,NY,21,37000,5,3,3,4,7,4,4,6,4,4,7,4,5,4,3,2,5,5,2,4,4,4,5,3,5,4,5,6,3,2,7,6,5,2,1,6,4,7,3,4,Seraph Guardians,50,6,1,5,3,4,2
female,CA,19,21000,3,2,5,4,5,5,5,4,5,2,7,7,7,7,6,1,4,2,5,3,5,4,7,4,7,5,4,6,6,3,5,3,2,7,7,4,6,5,6,7,Warrior Guild,44,5,2,3,4,6,1
female,CT,23,33000,3,5,2,2,4,5,6,4,5,3,3,1,2,2,1,4,4,6,3,4,3,6,2,4,5,2,5,4,3,5,6,7,7,1,1,5,5,4,2,1,Evercrest,32,4,2,6,1,3,5
male,MD,21,86000,7,3,5,6,3,5,7,4,4,3,3,6,4,5,7,2,1,1,6,1,3,7,5,2,4,5,6,7,6,4,2,1,2,7,6,7,4,3,3,6,Seraph Guardians,72,4,2,1,5,6,3
male,CO,24,67000,4,4,1,2,7,5,2,6,5,2,4,5,6,4,2,3,5,5,3,5,3,3,5,4,1,2,2,3,2,4,6,6,6,1,1,2,3,4,1,1,Evercrest,50,3,1,6,2,5,4
female,MI,25,30000,1,2,3,2,3,5,2,4,7,2,1,4,5,5,5,3,4,6,7,6,6,3,6,6,2,6,5,4,3,6,5,5,6,5,4,3,3,1,3,6,Evercrest,31,2,4,3,1,6,5
male,CT,22,27000,4,7,1,3,5,3,5,5,5,5,3,4,2,1,4,4,4,4,4,3,5,4,4,6,2,2,4,2,5,4,6,5,5,4,3,3,1,5,1,2,Evercrest,43,4,1,6,2,5,3
female,TX,26,51000,4,2,2,3,4,6,3,7,3,1,3,3,4,2,1,2,6,6,4,6,5,3,2,3,3,3,3,3,5,7,7,7,6,3,3,4,1,3,1,2,Evercrest,42,2,3,5,1,4,6
female,UT,22,33000,7,1,4,6,5,3,5,2,3,1,3,4,2,3,3,2,6,1,6,4,3,6,3,3,5,6,6,1,6,5,3,5,1,4,5,4,4,3,3,6,Seraph Guardians,52,1,2,4,3,5,6
female,CA,19,24000,4,7,6,4,6,6,3,6,5,6,3,6,5,7,4,4,6,2,2,4,2,5,5,3,3,3,4,7,4,5,4,3,4,3,5,3,7,4,4,5,Evercrest,47,5,2,3,6,4,1
female,WI,21,27000,3,2,7,4,2,3,3,3,6,2,4,5,4,2,2,2,7,4,3,6,3,2,5,4,1,3,1,5,1,6,6,6,4,3,1,1,6,5,7,4,Evercrest,45,1,4,5,3,6,2
male,MN,20,27000,3,4,3,5,4,4,3,6,7,2,4,2,2,3,5,3,6,3,6,6,7,3,1,7,4,6,3,3,4,6,3,5,3,4,4,4,3,4,2,4,Evercrest,29,1,3,6,2,4,5
female,WI,27,62000,6,5,3,7,6,7,4,5,3,7,3,7,5,6,4,7,6,5,2,5,4,3,5,4,3,3,3,7,3,5,3,3,1,3,2,4,5,6,5,2,Seraph Guardians,58,4,1,5,6,3,2
male,NH,34,81000,4,5,4,5,7,6,1,7,3,5,7,7,6,5,5,4,3,3,4,2,4,1,7,5,2,5,2,6,5,2,4,3,4,7,6,3,5,6,5,7,Evercrest,69,5,2,3,6,4,1
female,GA,20,25000,6,3,2,3,3,2,4,2,6,4,4,3,1,3,2,3,3,3,5,2,5,5,3,5,3,5,6,3,5,3,6,5,3,3,2,3,2,6,2,3,Warrior Guild,20,3,2,5,1,4,6
female,KY,20,16000,7,3,4,7,7,6,7,7,6,3,5,4,4,5,5,3,4,2,7,5,5,6,6,6,4,7,5,6,6,4,3,2,2,7,5,7,4,4,4,6,Evercrest,35,3,1,2,4,6,5
female,FL,18,11000,5,5,4,4,7,4,3,4,5,3,7,5,6,6,4,5,6,3,2,5,5,3,7,3,4,3,5,6,2,4,4,5,4,5,4,4,3,6,5,4,Seraph Guardians,28,3,1,4,5,6,2
male,MS,22,29000,4,4,4,5,6,5,5,6,7,4,5,4,2,3,3,4,5,5,4,3,4,2,1,5,5,4,5,3,5,5,4,1,5,4,4,5,3,6,4,2,Warrior Guild,37,3,2,4,1,5,6
female,WV,30,74000,4,6,2,6,7,4,5,6,5,6,5,3,6,4,1,7,3,3,5,2,6,1,6,6,3,3,2,2,4,5,4,2,3,1,3,4,4,2,4,3,Seraph Guardians,54,2,1,5,6,4,3
male,TN,18,13000,4,6,3,4,7,7,5,7,5,7,7,7,7,7,7,4,6,5,1,5,5,5,7,2,7,1,6,6,1,7,5,6,5,6,6,5,4,7,5,7,Seraph Guardians,48,6,1,4,5,3,2
male,TX,31,70000,2,6,4,4,5,6,4,5,4,3,5,4,4,4,1,5,6,4,3,4,3,1,5,3,1,4,1,5,3,4,4,2,5,1,1,2,1,3,3,1,Evercrest,50,2,1,6,5,4,3
male,AL,23,43000,4,3,1,4,4,4,4,5,4,2,2,2,2,4,4,4,3,3,5,5,3,4,2,6,4,4,3,3,3,4,4,3,2,4,5,4,4,1,3,4,Seraph Guardians,45,2,4,3,1,6,5
female,AZ,23,28000,5,4,4,5,5,5,5,7,4,3,5,3,6,3,6,3,4,4,5,4,5,7,4,6,5,5,6,3,5,4,3,5,5,5,6,5,4,4,4,7,Seraph Guardians,48,4,2,3,1,6,5
male,CA,22,33000,2,5,3,3,3,3,2,2,3,7,2,3,2,1,1,6,3,3,2,2,5,2,2,3,3,3,3,2,3,2,5,4,4,1,1,2,2,3,1,2,Seraph Guardians,38,4,1,6,2,3,5
male,TX,23,29000,6,3,4,3,4,4,4,3,5,3,5,1,2,4,4,2,7,7,6,6,6,3,1,6,4,7,1,3,5,4,7,7,7,4,2,5,6,6,5,2,Evercrest,33,2,4,5,1,3,6
female,CA,20,33000,4,2,5,5,7,7,5,7,4,1,1,7,7,7,7,2,3,3,6,2,4,5,5,5,4,6,5,7,5,3,3,2,2,5,6,6,6,3,5,4,Seraph Guardians,49,4,2,1,5,6,3
male,NY,25,56000,6,4,3,7,2,3,6,3,6,2,3,4,3,3,4,2,4,3,6,4,5,7,1,7,7,2,7,3,4,4,2,4,4,4,4,7,3,4,3,2,Seraph Guardians,54,2,3,5,1,4,6
female,NY,19,23000,4,3,5,4,5,5,4,6,6,3,2,5,5,6,5,3,4,3,6,5,6,3,5,7,3,4,3,6,4,2,5,5,5,4,3,4,5,2,5,5,Evercrest,37,2,4,3,1,6,5
male,OK,34,97000,4,7,4,4,7,7,4,7,4,7,7,5,6,5,4,7,4,2,1,5,1,5,5,1,3,1,3,5,1,6,2,1,1,4,7,4,4,4,4,6,Warrior Guild,75,5,2,4,6,3,1
female,FL,36,80000,6,6,5,4,2,3,5,3,4,5,3,5,2,6,2,6,4,2,4,6,4,4,5,4,5,4,5,3,4,2,4,1,4,2,2,6,2,5,4,1,Seraph Guardians,63,3,1,6,4,2,5
male,AZ,40,165000,6,7,4,7,5,6,5,7,2,5,4,6,6,5,2,7,3,2,4,3,1,6,6,2,4,3,3,5,2,2,2,1,1,2,2,7,2,4,4,2,Warrior Guild,100,5,1,4,6,3,2
male,NC,22,21000,4,6,3,5,1,1,5,3,6,6,4,2,1,3,3,6,6,2,4,3,4,5,2,4,3,5,2,3,4,4,5,4,3,1,1,3,5,3,4,1,Evercrest,20,1,4,5,3,2,6
male,WY,55,68000,6,4,6,6,7,7,5,7,4,5,7,5,6,6,7,5,5,3,3,6,2,3,6,3,2,2,3,6,4,5,3,3,2,5,4,2,6,7,3,5,Warrior Guild,62,5,1,3,6,4,2
male,IL,37,92000,4,3,2,4,6,6,4,7,2,4,5,7,7,6,5,4,4,3,2,3,3,4,6,2,3,1,5,7,1,1,3,5,2,4,4,3,5,6,3,4,Evercrest,69,5,1,3,6,4,2
nonbinary,WV,40,48000,4,3,2,3,7,5,4,6,2,4,1,4,5,1,2,4,3,3,3,5,1,4,4,1,4,2,3,5,1,4,1,4,3,1,3,3,2,3,3,1,Evercrest,38,6,1,2,5,4,3
male,NC,37,51000,1,6,5,3,6,5,3,5,1,6,5,4,4,4,2,5,3,1,5,3,2,2,2,1,2,3,3,4,4,3,2,1,1,1,1,1,3,3,5,1,Warrior Guild,34,5,1,3,6,4,2
female,SC,23,34000,5,3,6,7,7,7,6,7,5,6,6,4,6,6,2,3,6,3,1,5,3,4,4,5,6,1,5,3,2,5,3,4,3,5,5,4,4,4,6,6,Evercrest,41,5,1,3,6,4,2
female,MA,26,62000,4,6,5,5,6,7,1,7,4,6,6,6,7,6,3,5,7,2,3,7,4,4,6,3,3,4,1,6,3,5,3,1,3,4,4,3,6,5,6,6,Warrior Guild,59,3,1,4,6,5,2
female,UT,35,108000,3,3,4,5,5,6,2,7,2,5,3,5,4,7,3,4,5,3,4,5,1,2,3,2,1,6,2,5,7,2,3,4,3,2,3,3,4,4,2,3,Seraph Guardians,84,4,1,2,5,6,3
male,VA,18,16000,4,5,2,1,2,1,3,2,4,7,5,1,2,3,4,7,3,3,5,3,6,2,3,4,2,6,1,2,5,4,2,3,5,4,3,1,1,5,1,1,Warrior Guild,30,1,3,6,2,4,5
nonbinary,PA,23,25000,6,6,3,7,2,2,4,1,5,5,5,2,1,2,3,3,5,2,4,3,3,3,3,4,3,5,4,2,4,5,4,3,1,5,7,4,2,5,4,5,Evercrest,30,3,2,6,4,1,5
male,NC,47,83000,2,6,1,3,6,5,3,4,3,7,4,7,7,7,6,6,5,2,1,6,1,4,7,2,3,1,3,7,1,4,1,1,2,5,4,3,2,3,1,5,Seraph Guardians,54,6,1,3,5,4,2
male,CT,23,54000,2,4,7,3,4,6,3,5,5,5,5,6,4,6,5,4,7,4,3,6,3,5,4,3,3,7,4,5,4,7,4,3,2,4,6,3,7,4,7,7,Seraph Guardians,55,4,2,3,5,6,1
female,GA,21,28000,4,5,3,4,4,2,2,3,4,4,1,6,5,5,3,6,6,1,3,5,3,1,7,4,2,6,2,6,5,6,2,1,2,3,3,2,4,2,5,4,Warrior Guild,32,1,4,3,5,6,2
male,IL,31,55000,5,3,3,1,5,4,2,3,2,4,3,3,4,3,4,3,4,4,6,2,5,3,4,4,6,6,3,2,6,1,4,3,2,3,2,3,4,2,3,2,Evercrest,61,3,2,1,4,6,5
female,TX,22,35000,4,4,1,6,4,2,4,3,4,4,4,1,1,2,4,4,4,5,2,6,3,3,1,6,2,1,3,1,5,4,4,5,4,3,4,3,1,2,1,2,Warrior Guild,36,3,2,6,4,1,5
male,FL,25,40000,3,1,5,4,6,7,6,6,4,2,5,4,5,5,4,1,6,3,5,5,5,6,6,4,6,4,6,4,5,5,4,2,1,6,5,4,5,6,4,5,Evercrest,54,5,2,1,4,6,3
female,SC,30,52000,2,1,1,1,7,7,2,6,1,1,4,3,3,3,3,2,7,5,5,5,4,1,1,4,3,6,2,2,5,6,5,5,5,4,2,1,1,4,1,2,Seraph Guardians,48,2,4,3,1,6,5
male,PA,27,38000,4,3,3,3,4,5,7,5,5,3,5,2,1,2,3,2,4,3,3,3,5,6,2,4,7,2,5,3,4,4,1,4,5,1,2,5,4,3,3,3,Evercrest,29,3,1,5,2,4,6
female,TX,33,68000,2,4,1,3,5,5,2,5,2,6,1,2,3,1,4,5,1,2,4,3,2,2,2,4,2,2,2,3,2,1,4,3,3,4,3,1,3,2,3,3,Warrior Guild,39,6,1,4,3,5,2
male,OH,53,89000,1,6,7,2,6,5,1,6,1,6,5,7,5,6,2,7,1,2,2,2,2,2,7,1,3,2,2,7,2,4,3,2,1,1,2,1,7,4,7,1,Seraph Guardians,88,5,2,3,6,4,1
male,NC,28,58000,7,6,1,6,1,2,6,2,2,6,3,2,4,3,5,7,1,6,2,4,4,5,2,2,6,1,3,2,2,1,4,3,5,4,4,6,1,3,1,5,Warrior Guild,43,4,1,6,5,2,3
male,TX,18,12000,5,2,2,5,3,5,7,6,7,3,6,2,3,3,4,4,6,3,5,5,6,5,4,5,4,5,3,4,5,6,1,4,4,3,5,6,2,4,5,4,Seraph Guardians,24,1,2,4,3,5,6
male,IL,22,34000,2,6,1,2,5,5,4,7,2,6,3,2,2,5,1,7,5,7,4,3,5,4,4,2,5,2,3,4,2,5,6,5,6,1,1,2,3,2,1,1,Seraph Guardians,44,4,1,6,2,5,3
male,GA,55,142000,3,5,3,2,4,4,2,5,3,6,6,4,7,6,3,3,7,6,4,5,2,1,5,1,1,5,1,6,4,5,5,7,5,3,2,2,4,6,5,2,Seraph Guardians,99,4,1,5,3,6,2
male,VA,58,111000,3,3,3,4,5,6,5,4,1,3,4,6,6,6,5,4,3,1,4,2,1,7,6,1,6,3,4,7,5,2,2,2,2,5,5,4,2,2,2,5,Warrior Guild,75,6,1,3,5,4,2
male,MI,56,122000,7,7,3,5,5,6,4,7,2,7,5,7,6,6,4,6,1,2,2,4,3,2,7,2,5,1,4,7,2,5,1,3,1,4,4,4,4,5,4,5,Seraph Guardians,75,6,1,4,5,3,2
female,KS,47,111000,5,6,4,6,7,6,6,5,2,4,3,3,6,3,2,5,1,5,1,2,1,5,2,1,5,4,4,4,3,2,6,6,6,1,1,6,3,7,4,1,Warrior Guild,84,5,1,4,6,3,2
male,MN,26,45000,7,5,1,5,1,4,3,3,2,5,2,2,1,1,3,4,5,3,3,3,1,3,1,2,3,3,3,2,4,3,2,3,3,5,4,5,1,4,4,4,Evercrest,36,3,1,6,5,2,4
female,WA,18,15000,5,6,3,6,5,4,3,3,5,5,5,7,6,7,5,4,5,5,3,3,7,2,7,6,2,6,2,6,5,6,2,4,2,5,4,4,7,1,5,5,Evercrest,39,1,2,3,4,6,5
female,CA,31,54000,6,4,3,6,7,7,4,7,4,4,4,4,6,6,4,2,4,5,3,4,5,4,4,4,3,5,5,4,4,4,3,2,4,1,5,7,6,1,5,2,Evercrest,46,4,1,2,5,6,3
male,AZ,19,11000,5,4,3,4,7,6,5,5,5,4,6,3,6,7,5,6,4,3,4,4,4,6,5,4,6,4,6,4,4,2,2,2,2,7,4,7,2,5,2,7,Evercrest,33,5,1,2,6,4,3
female,CA,27,68000,3,5,6,3,4,7,3,6,1,4,7,5,6,6,4,5,2,4,5,3,4,3,6,2,4,4,3,7,4,4,3,4,5,3,5,3,4,6,6,4,Seraph Guardians,75,4,1,3,5,6,2
female,NY,28,49000,5,4,1,5,6,5,3,4,3,2,3,5,5,5,4,4,5,5,4,5,6,1,3,4,1,4,1,6,4,5,5,4,5,4,5,3,1,3,1,4,Evercrest,48,1,2,4,3,6,5
male,FL,49,110000,3,5,4,5,3,6,3,4,3,4,5,2,4,3,6,5,3,3,3,3,1,5,3,2,4,4,4,4,4,4,3,1,3,6,4,3,5,5,6,5,Evercrest,80,5,1,4,6,3,2
male,TX,25,37000,6,6,4,3,7,5,5,4,3,4,5,4,5,4,5,6,6,4,6,5,3,2,3,4,4,6,2,4,5,7,2,4,3,4,2,3,3,3,2,4,Evercrest,43,2,1,6,3,4,5
female,CA,22,16000,7,3,5,7,5,3,4,5,5,1,3,3,4,5,5,3,4,2,5,4,5,4,5,5,4,4,4,2,5,5,3,3,4,5,6,6,5,3,5,6,Evercrest,30,1,2,3,4,5,6
female,NY,22,33000,3,4,2,2,7,7,4,7,4,4,4,3,6,4,6,4,4,5,4,4,3,5,4,3,4,6,5,4,5,3,3,5,5,5,4,4,5,1,3,6,Seraph Guardians,38,5,3,1,2,6,4
female,VA,31,121000,3,3,2,5,3,1,4,3,2,4,2,2,2,3,2,4,5,4,4,7,3,4,5,3,4,6,6,4,6,6,3,4,4,3,3,4,5,1,5,4,Warrior Guild,71,2,5,3,1,4,6
male,NY,63,130000,4,6,3,5,7,5,3,4,1,7,4,5,4,5,3,6,5,3,1,5,1,5,7,1,6,2,3,6,2,5,3,1,2,5,3,6,2,5,2,3,Seraph Guardians,85,5,1,4,6,2,3
female,FL,24,31000,3,1,1,4,4,7,2,6,3,1,5,6,5,5,3,1,2,7,4,2,3,2,5,3,2,3,1,5,4,2,7,7,7,4,3,2,1,6,1,2,Evercrest,39,4,1,5,3,6,2
male,VA,23,46000,6,5,3,6,4,4,5,4,7,4,5,4,2,4,4,1,4,1,5,3,5,4,6,6,2,5,3,5,4,3,2,3,4,4,4,5,1,7,1,7,Seraph Guardians,44,2,1,5,3,6,4
male,IL,21,49000,2,6,3,2,5,6,2,5,3,6,7,5,6,6,4,7,2,3,3,4,5,2,5,5,3,2,4,5,1,3,3,1,2,6,5,2,1,4,4,4,Warrior Guild,38,6,2,4,5,3,1
